iter	Passed	Remaining
0	1	101
1	1	72
2	1	60
3	2	57
4	2	51
5	3	48
6	3	45
7	3	43
8	4	41
9	4	40
10	4	39
11	5	38
12	5	37
13	6	37
14	6	36
15	6	36
16	7	35
17	7	34
18	7	33
19	8	33
20	8	32
21	8	31
22	9	31
23	9	30
24	10	30
25	10	29
26	10	28
27	11	28
28	11	27
29	11	27
30	11	26
31	12	26
32	12	25
33	13	25
34	13	25
35	14	25
36	14	24
37	15	24
38	15	24
39	16	24
40	16	23
41	16	23
42	17	22
43	17	22
44	18	22
45	18	21
46	18	21
47	19	20
48	19	20
49	20	20
50	20	19
51	21	19
52	21	19
53	21	18
54	22	18
55	22	17
56	23	17
57	23	17
58	24	16
59	27	18
60	27	17
61	28	17
62	29	17
63	29	16
64	29	16
65	30	15
66	30	15
67	31	14
68	31	14
69	31	13
70	32	13
71	32	12
72	33	12
73	33	11
74	34	11
75	34	11
76	35	10
77	35	10
78	36	9
79	36	9
80	37	8
81	37	8
82	38	7
83	38	7
84	38	6
85	39	6
86	39	5
87	40	5
88	40	5
89	41	4
90	41	4
91	42	3
92	42	3
93	43	2
94	43	2
95	44	1
96	44	1
97	44	0
98	45	0
99	45	0
