iter	Passed	Remaining
0	59	59682
1	60	30199
2	60	20236
3	61	15265
4	61	12267
5	62	10276
6	62	8853
7	62	7794
8	63	6975
9	63	6322
10	64	5783
11	64	5332
12	65	4941
13	65	4606
14	65	4314
15	66	4061
16	66	3858
17	67	3679
18	67	3510
19	69	3394
20	69	3252
21	70	3117
22	70	3003
23	71	2900
24	71	2799
25	72	2701
26	72	2614
27	74	2586
28	74	2509
29	75	2433
30	75	2368
31	76	2302
32	76	2239
33	76	2184
34	77	2135
35	78	2090
36	78	2045
37	79	2003
38	80	1973
39	81	1964
40	82	1928
41	82	1888
42	83	1849
43	83	1812
44	84	1797
45	85	1763
46	85	1730
47	86	1707
48	86	1683
49	87	1666
50	88	1637
51	88	1611
52	88	1585
53	89	1559
54	89	1535
55	90	1533
56	91	1514
57	92	1500
58	92	1483
59	93	1465
60	94	1447
61	95	1444
62	96	1427
63	96	1409
64	96	1392
65	97	1383
66	98	1366
67	98	1353
68	99	1338
69	99	1323
70	100	1313
71	100	1297
72	101	1287
73	101	1275
74	102	1265
75	103	1253
76	103	1241
77	103	1227
78	104	1214
79	104	1201
80	104	1188
81	105	1177
82	105	1166
83	106	1156
84	106	1148
85	106	1136
86	107	1126
87	107	1115
88	108	1107
89	108	1099
90	109	1092
91	110	1085
92	110	1079
93	111	1072
94	111	1063
95	112	1054
96	112	1045
97	112	1038
98	113	1034
99	114	1027
100	114	1019
101	115	1013
102	115	1008
103	116	1003
104	116	997
105	117	992
106	118	986
107	118	979
108	118	972
109	119	966
110	119	959
111	120	953
112	120	948
113	121	944
114	121	937
115	122	930
116	122	923
117	122	917
118	123	912
119	123	905
120	123	899
121	124	893
122	124	889
123	125	883
124	125	878
125	125	872
126	126	866
127	126	863
128	127	860
129	127	856
130	128	850
131	128	845
132	129	842
133	130	841
134	130	836
135	131	834
136	131	830
137	132	827
138	132	822
139	133	818
140	133	814
141	133	808
142	134	806
143	135	803
144	135	799
145	135	794
146	136	790
147	136	786
148	137	783
149	137	780
150	139	781
151	139	779
152	140	775
153	140	773
154	141	769
155	141	765
156	142	762
157	142	758
158	142	755
159	143	753
160	143	748
161	143	744
162	144	740
163	144	737
164	145	735
165	145	732
166	146	728
167	146	726
168	147	724
169	147	722
170	148	719
171	148	716
172	149	713
173	149	710
174	150	707
175	150	704
176	151	706
177	152	703
178	152	700
179	153	698
180	153	695
181	154	692
182	154	690
183	155	688
184	155	686
185	156	684
186	156	682
187	157	680
188	158	678
189	159	678
190	159	675
191	160	674
192	161	673
193	161	671
194	162	669
195	162	667
196	163	665
197	163	663
198	164	661
199	164	659
200	165	657
201	166	655
202	166	653
203	166	650
204	167	648
205	167	645
206	168	644
207	168	642
208	169	640
209	169	638
210	170	636
211	170	634
212	171	632
213	171	630
214	172	628
215	172	627
216	173	627
217	174	625
218	174	622
219	175	620
220	175	618
221	175	615
222	176	615
223	177	615
224	178	613
225	178	611
226	179	609
227	179	608
228	180	606
229	180	604
230	181	603
231	181	601
232	182	599
233	182	598
234	183	596
235	183	594
236	184	592
237	184	592
238	185	590
239	185	588
240	186	587
241	186	585
242	187	583
243	187	582
244	188	580
245	189	579
246	189	577
247	190	576
248	190	575
249	191	575
250	192	574
251	193	573
252	193	571
253	194	572
254	195	570
255	195	568
256	195	566
257	196	564
258	197	564
259	197	562
260	198	562
261	198	560
262	199	560
263	200	559
264	201	558
265	202	558
266	202	556
267	203	555
268	203	554
269	204	552
270	204	550
271	205	549
272	205	548
273	206	546
274	206	545
275	207	543
276	207	542
277	208	540
278	208	539
279	209	537
280	210	537
281	210	536
282	210	534
283	211	533
284	211	531
285	212	530
286	214	533
287	215	532
288	215	531
289	216	529
290	216	528
291	217	526
292	217	525
293	218	524
294	218	522
295	219	521
296	219	519
297	220	518
298	220	517
299	221	516
300	221	515
301	222	514
302	223	514
303	224	513
304	224	512
305	225	511
306	226	510
307	226	509
308	227	507
309	227	506
310	228	506
311	228	504
312	229	503
313	229	502
314	230	501
315	230	499
316	231	498
317	231	497
318	232	496
319	232	494
320	233	493
321	233	491
322	233	490
323	234	489
324	234	487
325	235	486
326	235	485
327	236	483
328	236	482
329	238	483
330	238	482
331	239	481
332	239	480
333	240	478
334	240	477
335	241	476
336	241	475
337	242	474
338	242	472
339	242	471
340	243	470
341	243	469
342	244	468
343	245	467
344	245	466
345	246	465
346	246	464
347	248	464
348	248	463
349	249	463
350	250	462
351	250	461
352	250	459
353	251	458
354	251	457
355	252	456
356	252	455
357	253	453
358	254	453
359	254	452
360	255	451
361	255	450
362	255	449
363	256	447
364	256	446
365	257	446
366	258	445
367	258	444
368	258	442
369	259	442
370	260	441
371	261	441
372	261	439
373	262	438
374	263	438
375	263	437
376	264	436
377	264	435
378	265	434
379	265	433
380	265	431
381	266	430
382	266	429
383	267	428
384	267	427
385	268	426
386	268	425
387	269	424
388	269	423
389	269	422
390	270	421
391	270	419
392	271	418
393	271	417
394	272	416
395	272	415
396	272	414
397	273	413
398	273	412
399	274	411
400	274	410
401	275	409
402	276	409
403	277	408
404	277	408
405	278	407
406	278	405
407	279	405
408	279	404
409	280	403
410	280	402
411	281	401
412	281	400
413	281	399
414	282	397
415	282	397
416	283	396
417	284	395
418	285	395
419	285	394
420	286	393
421	286	392
422	287	391
423	287	390
424	288	389
425	288	389
426	289	388
427	289	387
428	290	386
429	290	385
430	291	384
431	291	383
432	292	383
433	293	382
434	293	381
435	294	380
436	294	379
437	295	378
438	295	377
439	296	377
440	296	376
441	297	375
442	297	374
443	298	373
444	299	372
445	299	372
446	300	371
447	301	371
448	301	370
449	302	369
450	303	368
451	303	368
452	304	367
453	304	366
454	305	365
455	305	364
456	306	363
457	306	362
458	306	361
459	307	360
460	308	360
461	308	359
462	309	358
463	309	358
464	310	357
465	311	356
466	311	355
467	312	354
468	313	354
469	313	353
470	314	352
471	314	352
472	315	351
473	315	350
474	316	349
475	317	349
476	317	348
477	318	347
478	318	346
479	318	345
480	319	344
481	319	343
482	320	343
483	321	342
484	321	341
485	321	340
486	322	339
487	322	338
488	323	338
489	324	337
490	324	336
491	326	337
492	327	336
493	327	335
494	328	334
495	328	333
496	329	333
497	329	332
498	329	331
499	330	330
500	330	329
501	331	328
502	331	327
503	332	327
504	333	326
505	333	325
506	334	325
507	334	324
508	335	323
509	336	322
510	336	321
511	336	321
512	337	320
513	337	319
514	338	318
515	338	317
516	339	316
517	339	316
518	340	315
519	340	314
520	341	313
521	341	312
522	342	312
523	342	311
524	343	310
525	344	310
526	344	309
527	345	308
528	345	307
529	345	306
530	346	305
531	347	305
532	347	304
533	348	304
534	349	303
535	349	302
536	350	301
537	350	301
538	351	300
539	351	299
540	352	298
541	352	298
542	353	297
543	353	296
544	354	295
545	354	294
546	355	294
547	355	293
548	356	292
549	357	292
550	357	291
551	358	290
552	359	290
553	359	289
554	359	288
555	360	287
556	360	286
557	361	286
558	361	285
559	362	284
560	362	283
561	363	282
562	363	282
563	364	281
564	365	281
565	365	280
566	366	279
567	366	278
568	367	278
569	367	277
570	368	276
571	368	275
572	369	275
573	369	274
574	370	273
575	370	272
576	371	271
577	371	271
578	372	270
579	373	270
580	374	269
581	374	268
582	374	268
583	375	267
584	376	266
585	376	266
586	377	265
587	377	264
588	378	263
589	378	263
590	378	262
591	379	261
592	379	260
593	380	260
594	381	259
595	381	258
596	382	258
597	382	257
598	383	256
599	383	255
600	384	255
601	385	254
602	385	254
603	387	254
604	388	253
605	389	253
606	389	252
607	390	251
608	390	250
609	391	250
610	391	249
611	391	248
612	392	247
613	392	247
614	393	246
615	394	245
616	394	244
617	394	244
618	395	243
619	395	242
620	396	241
621	396	241
622	397	240
623	397	239
624	398	238
625	398	238
626	398	237
627	399	236
628	399	235
629	400	235
630	401	234
631	401	233
632	403	233
633	403	233
634	403	232
635	404	231
636	405	231
637	405	230
638	406	229
639	407	228
640	407	228
641	407	227
642	408	226
643	408	226
644	409	225
645	410	224
646	410	224
647	411	223
648	411	222
649	412	222
650	412	221
651	413	220
652	413	219
653	414	219
654	414	218
655	414	217
656	415	216
657	415	216
658	416	215
659	417	214
660	417	214
661	418	213
662	418	212
663	419	212
664	419	211
665	420	210
666	420	210
667	421	209
668	421	208
669	422	207
670	422	207
671	422	206
672	423	205
673	423	204
674	424	204
675	424	203
676	425	202
677	425	202
678	426	201
679	427	201
680	428	200
681	428	199
682	429	199
683	429	198
684	430	197
685	430	197
686	431	196
687	431	195
688	432	195
689	432	194
690	432	193
691	434	193
692	434	192
693	435	191
694	435	191
695	436	190
696	436	189
697	436	189
698	437	188
699	437	187
700	438	186
701	438	186
702	439	185
703	439	184
704	440	184
705	441	183
706	442	183
707	442	182
708	443	181
709	444	181
710	444	180
711	444	179
712	445	179
713	446	178
714	446	177
715	446	177
716	447	176
717	447	175
718	448	175
719	448	174
720	450	174
721	450	173
722	451	172
723	451	172
724	452	171
725	453	171
726	453	170
727	453	169
728	454	168
729	454	168
730	455	167
731	456	167
732	457	166
733	457	165
734	457	165
735	458	164
736	459	163
737	459	163
738	460	162
739	460	161
740	461	161
741	461	160
742	462	159
743	462	159
744	463	158
745	463	157
746	464	157
747	464	156
748	465	155
749	466	155
750	467	154
751	467	154
752	468	153
753	468	152
754	469	152
755	469	151
756	470	151
757	471	150
758	471	149
759	471	149
760	472	148
761	472	147
762	473	146
763	473	146
764	473	145
765	474	144
766	474	144
767	475	143
768	475	142
769	476	142
770	476	141
771	476	140
772	477	140
773	478	139
774	478	138
775	478	138
776	479	137
777	479	136
778	480	136
779	481	135
780	482	135
781	482	134
782	483	133
783	483	133
784	483	132
785	484	131
786	484	131
787	485	130
788	485	129
789	486	129
790	486	128
791	488	128
792	488	127
793	489	126
794	489	126
795	490	125
796	490	124
797	491	124
798	491	123
799	491	122
800	492	122
801	492	121
802	493	121
803	493	120
804	494	119
805	495	119
806	495	118
807	495	117
808	496	117
809	497	116
810	497	115
811	497	115
812	498	114
813	499	114
814	499	113
815	500	112
816	500	112
817	500	111
818	501	110
819	501	110
820	502	109
821	503	109
822	504	108
823	504	107
824	505	107
825	505	106
826	506	105
827	507	105
828	507	104
829	508	104
830	508	103
831	509	102
832	509	102
833	510	101
834	510	100
835	511	100
836	512	99
837	512	99
838	512	98
839	513	97
840	514	97
841	515	96
842	515	96
843	516	95
844	516	94
845	517	94
846	517	93
847	518	92
848	520	92
849	520	91
850	521	91
851	521	90
852	522	90
853	522	89
854	523	88
855	523	88
856	524	87
857	524	86
858	525	86
859	525	85
860	526	84
861	526	84
862	526	83
863	527	83
864	528	82
865	528	81
866	528	81
867	529	80
868	530	79
869	531	79
870	531	78
871	532	78
872	532	77
873	532	76
874	533	76
875	534	75
